"TIME","CH1","CH2","CH3"
-9.514e-03,-1.82,2.5,1.04
-9.512e-03,-1.76,2.6,0.96
-9.510e-03,-1.72,2.7,1.08
-9.508e-03,-1.7,2.6,1.04
-9.506e-03,-1.76,2.6,0.96
-9.504e-03,-1.8,2.6,1.08
-9.502e-03,-1.8,2.5,1.08
-9.500e-03,-1.74,2.7,0.96
-9.498e-03,-1.76,2.5,1
-9.496e-03,-1.78,2.5,1
-9.494e-03,-1.68,2.6,1.04
-9.492e-03,-1.76,2.6,1.04
-9.490e-03,-1.78,2.5,1.04
-9.488e-03,-1.78,2.5,1.04
-9.486e-03,-1.8,2.6,1.04
-9.484e-03,-1.82,2.5,1
-9.482e-03,-1.68,2.6,1.08
-9.480e-03,-1.76,2.8,1.04
-9.478e-03,-1.68,2.6,1.08
-9.476e-03,-1.76,2.8,1.04
-9.474e-03,-1.76,2.6,1.08
-9.472e-03,-1.74,2.4,1.04
-9.470e-03,-1.74,2.6,1
-9.468e-03,-1.72,2.7,1.04
-9.466e-03,-1.8,2.6,1.04
-9.464e-03,-1.76,2.4,1.04
-9.462e-03,-1.82,2.5,0.96
-9.460e-03,-1.78,2.5,1.08
-9.458e-03,-1.78,2.6,1.04
-9.456e-03,-1.76,2.6,1.08
-9.454e-03,-1.76,2.4,0.96
-9.452e-03,-1.76,2.6,0.96
-9.450e-03,-1.76,2.6,1.12
-9.448e-03,-1.8,2.6,1.04
-9.446e-03,-1.78,2.5,1.12
-9.444e-03,-1.8,2.4,0.96
-9.442e-03,-1.76,2.6,1
-9.440e-03,-1.8,2.5,1.08
-9.438e-03,-1.84,2.6,1.04
-9.436e-03,-1.86,2.7,1.08
-9.434e-03,-1.8,2.5,1
-9.432e-03,-1.78,2.8,1.04
-9.430e-03,-1.78,2.6,1.12
-9.428e-03,-1.8,2.6,1
-9.426e-03,-1.74,2.4,1.12
-9.424e-03,-1.8,2.4,1.04
-9.422e-03,-1.76,2.6,1.12
-9.420e-03,-1.8,2.6,1.08
